k,nsteps,mpi_procs,omp_threads,evolution,time
10000,100,1,1,1,133.410793
10000,100,1,2,1,66.812747
10000,100,1,3,1,44.504970
10000,100,1,4,1,33.384863
10000,100,1,5,1,26.750771
10000,100,1,6,1,22.261497
10000,100,1,7,1,19.123177
10000,100,1,8,1,16.745651
10000,100,1,9,1,14.898240
10000,100,1,10,1,13.370789
10000,100,1,11,1,12.188439
10000,100,1,12,1,11.155110
10000,100,1,13,1,10.300982
10000,100,1,14,1,9.567137
10000,100,1,15,1,8.928630
10000,100,1,16,1,8.366027
10000,100,1,17,1,7.884269
10000,100,1,18,1,7.447038
10000,100,1,19,1,7.057087
10000,100,1,20,1,6.700785
10000,100,1,21,1,6.395232
10000,100,1,22,1,6.095942
10000,100,1,23,1,5.837908
10000,100,1,24,1,5.579664
10000,100,1,25,1,5.367986
10000,100,1,26,1,5.166561
10000,100,1,27,1,4.962575
10000,100,1,28,1,4.789183
10000,100,1,29,1,4.628934
10000,100,1,30,1,4.479095
10000,100,1,31,1,4.320620
10000,100,1,32,1,4.198525
10000,100,1,33,1,4.059166
10000,100,1,34,1,3.947050
10000,100,1,35,1,3.830551
10000,100,1,36,1,3.723941
10000,100,1,37,1,3.635248
10000,100,1,38,1,3.533971
10000,100,1,39,1,3.442045
10000,100,1,40,1,3.346721
10000,100,1,41,1,3.275405
10000,100,1,42,1,3.218744
10000,100,1,43,1,3.124131
10000,100,1,44,1,3.051939
10000,100,1,45,1,2.987977
10000,100,1,46,1,2.925548
10000,100,1,47,1,2.857708
10000,100,1,48,1,2.804234
10000,100,1,49,1,2.750439
10000,100,1,50,1,2.685144
10000,100,1,51,1,2.644335
10000,100,1,52,1,2.591046
10000,100,1,53,1,2.537733
10000,100,1,54,1,2.500204
10000,100,1,55,1,2.445355
10000,100,1,56,1,2.408116
10000,100,1,57,1,2.368771
10000,100,1,58,1,2.356165
10000,100,1,59,1,2.284212
10000,100,1,60,1,2.249385
10000,100,1,61,1,2.211810
10000,100,1,62,1,2.177858
10000,100,1,63,1,2.139223
10000,100,1,64,1,2.111815
10000,100,2,1,1,66.879108
10000,100,2,2,1,33.451211
10000,100,2,3,1,22.405700
10000,100,2,4,1,16.787139
10000,100,2,5,1,13.421735
10000,100,2,6,1,11.182244
10000,100,2,7,1,9.592493
10000,100,2,8,1,8.386155
10000,100,2,9,1,7.442969
10000,100,2,10,1,6.697588
10000,100,2,11,1,6.090426
10000,100,2,12,1,5.585937
10000,100,2,13,1,5.154485
10000,100,2,14,1,4.789850
10000,100,2,15,1,4.473242
10000,100,2,16,1,4.194738
10000,100,2,17,1,3.948141
10000,100,2,18,1,3.725979
10000,100,2,19,1,3.538202
10000,100,2,20,1,3.351009
10000,100,2,21,1,3.200009
10000,100,2,22,1,3.055473
10000,100,2,23,1,2.919343
10000,100,2,24,1,2.799264
10000,100,2,25,1,2.681131
10000,100,2,26,1,2.588066
10000,100,2,27,1,2.493077
10000,100,2,28,1,2.401035
10000,100,2,29,1,2.321802
10000,100,2,30,1,2.241457
10000,100,2,31,1,2.174489
10000,100,2,32,1,2.108558
10000,100,2,33,1,2.042151
10000,100,2,34,1,1.987883
10000,100,2,35,1,1.922151
10000,100,2,36,1,1.865282
10000,100,2,37,1,1.822635
10000,100,2,38,1,1.765677
10000,100,2,39,1,1.725158
10000,100,2,40,1,1.673085
10000,100,2,41,1,1.633922
10000,100,2,42,1,1.603221
10000,100,2,43,1,1.565441
10000,100,2,44,1,1.528435
10000,100,2,45,1,1.498775
10000,100,2,46,1,1.460931
10000,100,2,47,1,1.433553
10000,100,2,48,1,1.406921
10000,100,2,49,1,1.379881
10000,100,2,50,1,1.343152
10000,100,2,51,1,1.327012
10000,100,2,52,1,1.299570
10000,100,2,53,1,1.273333
10000,100,2,54,1,1.248939
10000,100,2,55,1,1.224375
10000,100,2,56,1,1.206915
10000,100,2,57,1,1.181565
10000,100,2,58,1,1.168998
10000,100,2,59,1,1.141567
10000,100,2,60,1,1.129209
10000,100,2,61,1,1.103671
10000,100,2,62,1,1.089183
10000,100,2,63,1,1.103125
10000,100,2,64,1,1.061417
10000,100,4,1,1,33.588453
10000,100,4,2,1,16.817407
10000,100,4,3,1,11.219378
10000,100,4,4,1,8.391964
10000,100,4,5,1,6.758677
10000,100,4,6,1,5.611018
10000,100,4,7,1,4.811046
10000,100,4,8,1,4.208162
10000,100,4,9,1,3.766804
10000,100,4,10,1,3.356573
10000,100,4,11,1,3.064229
10000,100,4,12,1,2.811594
10000,100,4,13,1,2.593783
10000,100,4,14,1,2.406760
10000,100,4,15,1,2.249384
10000,100,4,16,1,2.116797
10000,100,4,17,1,1.990978
10000,100,4,18,1,1.875431
10000,100,4,19,1,1.780646
10000,100,4,20,1,1.687990
10000,100,4,21,1,1.620127
10000,100,4,22,1,1.543510
10000,100,4,23,1,1.473960
10000,100,4,24,1,1.423994
10000,100,4,25,1,1.354833
10000,100,4,26,1,1.314191
10000,100,4,27,1,1.260975
10000,100,4,28,1,1.220931
10000,100,4,29,1,1.178837
10000,100,4,30,1,1.137220
10000,100,4,31,1,1.098872
10000,100,4,32,1,1.068320
10000,100,4,33,1,1.031262
10000,100,4,34,1,1.004830
10000,100,4,35,1,0.976913
10000,100,4,36,1,0.952666
10000,100,4,37,1,0.923692
10000,100,4,38,1,0.899663
10000,100,4,39,1,0.884839
10000,100,4,40,1,0.858131
10000,100,4,41,1,0.831051
10000,100,4,42,1,0.817916
10000,100,4,43,1,0.802889
10000,100,4,44,1,0.776435
10000,100,4,45,1,0.761322
10000,100,4,46,1,0.750667
10000,100,4,47,1,0.735761
10000,100,4,48,1,0.722063
10000,100,4,49,1,0.707334
10000,100,4,50,1,0.684119
10000,100,4,51,1,0.685660
10000,100,4,52,1,0.668556
10000,100,4,53,1,0.655908
10000,100,4,54,1,0.644263
10000,100,4,55,1,0.629539
10000,100,4,56,1,0.616829
10000,100,4,57,1,0.603225
10000,100,4,58,1,0.603887
10000,100,4,59,1,0.590887
10000,100,4,60,1,0.575999
10000,100,4,61,1,0.565997
10000,100,4,62,1,0.565119
10000,100,4,63,1,0.551662
10000,100,4,64,1,0.550689
