k,nsteps,mpi_procs,omp_threads,evolution,time
10000,100,1,1,1,141.051004
10000,100,1,2,1,70.459634
10000,100,1,3,1,47.159335
10000,100,1,4,1,35.321849
10000,100,1,5,1,28.292778
10000,100,1,6,1,23.595054
10000,100,1,7,1,20.256359
10000,100,1,8,1,17.733540
10000,100,1,9,1,15.749206
10000,100,1,10,1,14.191444
10000,100,1,12,1,11.822411
10000,100,2,1,1,78.827673
10000,100,2,2,1,39.391238
10000,100,2,3,1,26.325796
10000,100,2,4,1,19.760677
10000,100,2,5,1,15.821670
10000,100,2,6,1,13.187887
10000,100,2,7,1,11.316601
10000,100,2,8,1,9.905201
10000,100,2,9,1,8.812618
10000,100,2,10,1,7.979068
10000,100,2,11,1,7.240953
10000,100,2,12,1,6.642178
10000,100,4,1,1,39.411617
10000,100,4,2,1,19.746988
10000,100,4,3,1,13.187666
10000,100,4,4,1,9.907308
10000,100,4,5,1,7.929281
10000,100,4,6,1,6.616425
10000,100,4,7,1,5.668401
10000,100,4,8,1,4.987841
10000,100,4,9,1,4.417472
10000,100,4,10,1,3.995694
10000,100,4,11,1,3.637384
10000,100,4,12,1,3.367963
