k,nsteps,mpi_procs,omp_threads,evolution,time
10000,100,1,1,1,133.598824
10000,100,1,2,1,66.730676
10000,100,1,3,1,44.463129
10000,100,1,4,1,33.371045
10000,100,1,5,1,26.720578
10000,100,1,6,1,22.262500
10000,100,1,7,1,19.085904
10000,100,1,8,1,16.704774
10000,100,1,9,1,14.873076
10000,100,1,10,1,13.359327
10000,100,1,11,1,12.176708
10000,100,1,12,1,11.144489
10000,100,1,13,1,10.291175
10000,100,1,14,1,9.549205
10000,100,1,15,1,8.931872
10000,100,1,16,1,8.353543
10000,100,1,17,1,7.856739
10000,100,1,18,1,7.442406
10000,100,1,19,1,7.043804
10000,100,1,20,1,6.688908
10000,100,1,21,1,6.385782
10000,100,1,22,1,6.088385
10000,100,1,23,1,5.824984
10000,100,1,24,1,5.584078
10000,100,1,25,1,5.358033
10000,100,1,26,1,5.156251
10000,100,1,27,1,4.956894
10000,100,1,28,1,4.798343
10000,100,1,29,1,4.616069
10000,100,1,30,1,4.466662
10000,100,1,31,1,4.314784
10000,100,1,32,1,4.191885
10000,100,1,33,1,4.057646
10000,100,1,34,1,3.943460
10000,100,1,35,1,3.825093
10000,100,1,36,1,3.715271
10000,100,1,37,1,3.616738
10000,100,1,38,1,3.536945
10000,100,1,39,1,3.441578
10000,100,1,40,1,3.344512
10000,100,1,41,1,3.263016
10000,100,1,42,1,3.198710
10000,100,1,43,1,3.116276
10000,100,1,44,1,3.049358
10000,100,1,45,1,2.991263
10000,100,1,46,1,2.921711
10000,100,1,47,1,2.850251
10000,100,1,48,1,2.796110
10000,100,1,49,1,2.742746
10000,100,1,50,1,2.679077
10000,100,1,51,1,2.639348
10000,100,1,52,1,2.587703
10000,100,1,53,1,2.533735
10000,100,1,54,1,2.494414
10000,100,1,55,1,2.456752
10000,100,1,56,1,2.399111
10000,100,1,57,1,2.362351
10000,100,1,58,1,2.327725
10000,100,1,59,1,2.284278
10000,100,1,60,1,2.239148
10000,100,1,61,1,2.200351
10000,100,1,62,1,2.171808
10000,100,1,63,1,2.158107
10000,100,1,64,1,2.174124
20000,100,2,1,1,267.239603
20000,100,2,2,1,133.711634
20000,100,2,3,1,89.103378
