k,nsteps,mpi_procs,omp_threads,evolution,time
5000,100,1,1,1,35.218263
5000,100,1,2,1,17.652229
5000,100,1,3,1,11.829533
5000,100,1,4,1,8.853032
5000,100,1,5,1,7.095144
5000,100,1,6,1,5.911078
5000,100,1,7,1,5.081743
5000,100,1,8,1,4.439304
5000,100,1,9,1,3.948114
5000,100,1,10,1,3.556396
5000,100,1,11,1,3.233270
5000,100,1,12,1,2.962936
10000,100,2,1,1,70.561142
10000,100,2,2,1,35.310794
10000,100,2,3,1,23.595671
10000,100,2,4,1,17.718862
10000,100,2,5,1,14.186054
10000,100,2,6,1,11.834566
10000,100,2,7,1,10.140153
10000,100,2,8,1,8.884952
10000,100,2,9,1,7.898682
10000,100,2,10,1,7.117697
10000,100,2,11,1,6.472092
10000,100,2,12,1,5.938090
20000,100,4,1,1,141.179426
20000,100,4,2,1,70.713946
20000,100,4,3,1,47.283470
20000,100,4,4,1,35.434824
20000,100,4,5,1,28.386913
20000,100,4,6,1,23.738127
20000,100,4,7,1,20.319466
20000,100,4,8,1,17.804059
20000,100,4,9,1,15.819075
20000,100,4,10,1,14.269808
20000,100,4,11,1,12.966121
20000,100,4,12,1,11.907312
