k,nsteps,mpi_procs,omp_threads,evolution,time
10000,100,1,1,1,141.033488
10000,100,1,2,1,70.469241
10000,100,1,3,1,47.028723
10000,100,1,4,1,35.367613
10000,100,1,5,1,28.302625
10000,100,1,6,1,23.603462
10000,100,1,7,1,20.226345
10000,100,1,8,1,17.728893
10000,100,1,9,1,15.760967
10000,100,1,10,1,14.164382
10000,100,1,11,1,12.892710
10000,100,1,12,1,11.818145
20000,100,2,1,1,282.624892
20000,100,2,2,1,141.592926
20000,100,2,3,1,94.371231
20000,100,2,4,1,70.616603
20000,100,2,5,1,56.704796
20000,100,2,6,1,47.224657
20000,100,2,7,1,40.493301
20000,100,2,8,1,35.465357
20000,100,2,9,1,31.497834
20000,100,2,10,1,28.371931
20000,100,2,11,1,25.825129
20000,100,2,12,1,23.661742
40000,100,4,1,1,566.638526
40000,100,4,2,1,282.583717
40000,100,4,3,1,188.429148
40000,100,4,4,1,141.300534
40000,100,4,5,1,113.133419
40000,100,4,6,1,94.161212
40000,100,4,7,1,80.854556
40000,100,4,8,1,70.764448
40000,100,4,9,1,62.969705
40000,100,4,10,1,56.687975
40000,100,4,11,1,51.630970
40000,100,4,12,1,47.244209
