2000, 2000, 2000, 0.020006, 799.774943
2000x2000x2000	0.020006 s	799.774943 GFLOPS
2000, 2000, 2000, 0.019933, 802.705036
2000x2000x2000	0.019933 s	802.705036 GFLOPS
2000, 2000, 2000, 0.020364, 785.709515
2000x2000x2000	0.020364 s	785.709515 GFLOPS
2000, 2000, 2000, 0.020886, 766.081401
2000x2000x2000	0.020886 s	766.081401 GFLOPS
2000, 2000, 2000, 0.020136, 794.581589
2000x2000x2000	0.020136 s	794.581589 GFLOPS
2500, 2500, 2500, 0.029989, 1042.037945
2500x2500x2500	0.029989 s	1042.037945 GFLOPS
2500, 2500, 2500, 0.029755, 1050.252057
2500x2500x2500	0.029755 s	1050.252057 GFLOPS
2500, 2500, 2500, 0.029840, 1047.238253
2500x2500x2500	0.029840 s	1047.238253 GFLOPS
2500, 2500, 2500, 0.029866, 1046.354369
2500x2500x2500	0.029866 s	1046.354369 GFLOPS
2500, 2500, 2500, 0.030671, 1018.862785
2500x2500x2500	0.030671 s	1018.862785 GFLOPS
3000, 3000, 3000, 0.041787, 1292.280671
3000x3000x3000	0.041787 s	1292.280671 GFLOPS
3000, 3000, 3000, 0.041730, 1294.032419
3000x3000x3000	0.041730 s	1294.032419 GFLOPS
3000, 3000, 3000, 0.042332, 1275.633983
3000x3000x3000	0.042332 s	1275.633983 GFLOPS
3000, 3000, 3000, 0.042065, 1283.718684
3000x3000x3000	0.042065 s	1283.718684 GFLOPS
3000, 3000, 3000, 0.041956, 1287.059109
3000x3000x3000	0.041956 s	1287.059109 GFLOPS
3500, 3500, 3500, 0.054884, 1562.383191
3500x3500x3500	0.054884 s	1562.383191 GFLOPS
3500, 3500, 3500, 0.057710, 1485.874394
3500x3500x3500	0.057710 s	1485.874394 GFLOPS
3500, 3500, 3500, 0.054729, 1566.811816
3500x3500x3500	0.054729 s	1566.811816 GFLOPS
3500, 3500, 3500, 0.054617, 1570.015850
3500x3500x3500	0.054617 s	1570.015850 GFLOPS
3500, 3500, 3500, 0.054733, 1566.707414
3500x3500x3500	0.054733 s	1566.707414 GFLOPS
4000, 4000, 4000, 0.077835, 1644.497639
4000x4000x4000	0.077835 s	1644.497639 GFLOPS
4000, 4000, 4000, 0.078961, 1621.056059
4000x4000x4000	0.078961 s	1621.056059 GFLOPS
4000, 4000, 4000, 0.076906, 1664.358756
4000x4000x4000	0.076906 s	1664.358756 GFLOPS
4000, 4000, 4000, 0.073678, 1737.283179
4000x4000x4000	0.073678 s	1737.283179 GFLOPS
4000, 4000, 4000, 0.077416, 1653.394879
4000x4000x4000	0.077416 s	1653.394879 GFLOPS
4500, 4500, 4500, 0.103404, 1762.497074
4500x4500x4500	0.103404 s	1762.497074 GFLOPS
4500, 4500, 4500, 0.097523, 1868.786669
4500x4500x4500	0.097523 s	1868.786669 GFLOPS
4500, 4500, 4500, 0.104218, 1748.744229
4500x4500x4500	0.104218 s	1748.744229 GFLOPS
4500, 4500, 4500, 0.108128, 1685.500824
4500x4500x4500	0.108128 s	1685.500824 GFLOPS
4500, 4500, 4500, 0.099627, 1829.326883
4500x4500x4500	0.099627 s	1829.326883 GFLOPS
5000, 5000, 5000, 0.132309, 1889.517022
5000x5000x5000	0.132309 s	1889.517022 GFLOPS
5000, 5000, 5000, 0.125964, 1984.698987
5000x5000x5000	0.125964 s	1984.698987 GFLOPS
5000, 5000, 5000, 0.126460, 1976.905662
5000x5000x5000	0.126460 s	1976.905662 GFLOPS
5000, 5000, 5000, 0.128398, 1947.069704
5000x5000x5000	0.128398 s	1947.069704 GFLOPS
5000, 5000, 5000, 0.132204, 1891.015984
5000x5000x5000	0.132204 s	1891.015984 GFLOPS
5500, 5500, 5500, 0.169417, 1964.088343
5500x5500x5500	0.169417 s	1964.088343 GFLOPS
5500, 5500, 5500, 0.174116, 1911.082915
5500x5500x5500	0.174116 s	1911.082915 GFLOPS
5500, 5500, 5500, 0.168593, 1973.690618
5500x5500x5500	0.168593 s	1973.690618 GFLOPS
5500, 5500, 5500, 0.175933, 1891.341260
5500x5500x5500	0.175933 s	1891.341260 GFLOPS
5500, 5500, 5500, 0.172956, 1923.894781
5500x5500x5500	0.172956 s	1923.894781 GFLOPS
6000, 6000, 6000, 0.238075, 1814.556905
6000x6000x6000	0.238075 s	1814.556905 GFLOPS
6000, 6000, 6000, 0.235339, 1835.647588
6000x6000x6000	0.235339 s	1835.647588 GFLOPS
6000, 6000, 6000, 0.235273, 1836.163836
6000x6000x6000	0.235273 s	1836.163836 GFLOPS
6000, 6000, 6000, 0.238720, 1809.654044
6000x6000x6000	0.238720 s	1809.654044 GFLOPS
6000, 6000, 6000, 0.245275, 1761.284824
6000x6000x6000	0.245275 s	1761.284824 GFLOPS
6500, 6500, 6500, 0.325009, 1689.952936
6500x6500x6500	0.325009 s	1689.952936 GFLOPS
6500, 6500, 6500, 0.329230, 1668.287510
6500x6500x6500	0.329230 s	1668.287510 GFLOPS
6500, 6500, 6500, 0.324875, 1690.648616
6500x6500x6500	0.324875 s	1690.648616 GFLOPS
6500, 6500, 6500, 0.325531, 1687.240941
6500x6500x6500	0.325531 s	1687.240941 GFLOPS
6500, 6500, 6500, 0.350447, 1567.284976
6500x6500x6500	0.350447 s	1567.284976 GFLOPS
7000, 7000, 7000, 0.411947, 1665.261285
7000x7000x7000	0.411947 s	1665.261285 GFLOPS
7000, 7000, 7000, 0.426454, 1608.614799
7000x7000x7000	0.426454 s	1608.614799 GFLOPS
7000, 7000, 7000, 0.441225, 1554.761922
7000x7000x7000	0.441225 s	1554.761922 GFLOPS
7000, 7000, 7000, 0.443896, 1545.406326
7000x7000x7000	0.443896 s	1545.406326 GFLOPS
7000, 7000, 7000, 0.420428, 1631.669811
7000x7000x7000	0.420428 s	1631.669811 GFLOPS
7500, 7500, 7500, 0.528452, 1596.643947
7500x7500x7500	0.528452 s	1596.643947 GFLOPS
7500, 7500, 7500, 0.519439, 1624.347353
7500x7500x7500	0.519439 s	1624.347353 GFLOPS
7500, 7500, 7500, 0.534896, 1577.408892
7500x7500x7500	0.534896 s	1577.408892 GFLOPS
7500, 7500, 7500, 0.542573, 1555.090710
7500x7500x7500	0.542573 s	1555.090710 GFLOPS
7500, 7500, 7500, 0.522783, 1613.958941
7500x7500x7500	0.522783 s	1613.958941 GFLOPS
8000, 8000, 8000, 0.636275, 1609.366612
8000x8000x8000	0.636275 s	1609.366612 GFLOPS
8000, 8000, 8000, 0.646419, 1584.113064
8000x8000x8000	0.646419 s	1584.113064 GFLOPS
8000, 8000, 8000, 0.638359, 1604.113089
8000x8000x8000	0.638359 s	1604.113089 GFLOPS
8000, 8000, 8000, 0.629675, 1626.235715
8000x8000x8000	0.629675 s	1626.235715 GFLOPS
8000, 8000, 8000, 0.623931, 1641.206645
8000x8000x8000	0.623931 s	1641.206645 GFLOPS
8500, 8500, 8500, 0.764011, 1607.633023
8500x8500x8500	0.764011 s	1607.633023 GFLOPS
8500, 8500, 8500, 0.737698, 1664.976470
8500x8500x8500	0.737698 s	1664.976470 GFLOPS
8500, 8500, 8500, 0.734013, 1673.334759
8500x8500x8500	0.734013 s	1673.334759 GFLOPS
8500, 8500, 8500, 0.748170, 1641.672935
8500x8500x8500	0.748170 s	1641.672935 GFLOPS
8500, 8500, 8500, 0.736399, 1667.912929
8500x8500x8500	0.736399 s	1667.912929 GFLOPS
9000, 9000, 9000, 0.849823, 1715.651227
9000x9000x9000	0.849823 s	1715.651227 GFLOPS
